2;2500;50;50;true;false;true
942;3;10;855;599;31;530
599;3;11;942;1766;2259;627
1766;3;12;599;2448;2492;2494
2448;3;13;1766;1715;2160;2355
1715;3;14;2448;661;1971;1067
661;3;15;1715;2057;686;403
2057;3;16;661;1262;549;1746
1262;3;17;2057;1282;112;2432
1282;3;18;1262;1336;739;490
1336;3;19;1282;106;1134;1114
106;3;20;1336;1927;98;1261
1927;3;21;106;529;1616;618
529;3;22;1927;1189;1355;462
1189;3;23;529;1147;546;119
1147;3;24;1189;1036;2241;1847
1036;3;25;1147;682;1707;2069
682;3;26;1036;704;477;2372
704;3;27;682;1376;1998;2080
1376;3;28;704;646;2222;387
646;3;29;1376;1957;364;797
1957;3;30;646;729;1387;2363
729;3;31;1957;1615;1651;1961
1615;3;32;729;2476;938;2051
2476;3;33;1615;1819;1484;1638
1819;3;34;2476;524;681;1992
524;3;35;1819;1962;1489;1921
1962;3;36;524;1230;386;687
1230;3;37;1962;2053;1258;1786
2053;3;38;1230;591;1081;373
591;3;39;2053;51;1656;1017
51;3;40;591;366;1092;736
366;3;41;51;593;1010;1325
593;3;42;366;2260;1954;2032
2260;3;43;593;1142;488;492
1142;3;44;2260;1165;1141;2027
1165;3;45;1142;1956;961;1524
1956;3;46;1165;1803;2457;294
1803;3;47;1956;2444;1052;785
2444;3;48;1803;821;463;1466
821;3;49;2444;0;2285;1804
1045;4;0;0;2398;1083;137
2398;4;1;1045;789;1930;913
789;4;2;2398;2130;39;131
2130;4;3;789;1202;1528;1461
1202;4;4;2130;123;1637;2320
123;4;5;1202;1104;1801;1782
1104;4;6;123;471;1172;411
471;4;7;1104;172;2122;1676
172;4;8;471;2441;1536;2203
2441;4;9;172;530;855;695
530;4;10;2441;627;942;37
627;4;11;530;2494;599;728
2494;4;12;627;2355;1766;1435
2355;4;13;2494;1067;2448;1236
1067;4;14;2355;403;1715;2210
403;4;15;1067;1746;661;434
1746;4;16;403;2432;2057;2306
2432;4;17;1746;490;1262;393
490;4;18;2432;1114;1282;1401
1114;4;19;490;1261;1336;1710
1261;4;20;1114;618;106;329
618;4;21;1261;462;1927;188
462;4;22;618;119;529;642
119;4;23;462;1847;1189;1317
1847;4;24;119;2069;1147;2012
2069;4;25;1847;2372;1036;1481
2372;4;26;2069;2080;682;901
2080;4;27;2372;387;704;189
387;4;28;2080;797;1376;944
797;4;29;387;2363;646;1488
2363;4;30;797;1961;1957;2190
1961;4;31;2363;2051;729;1490
2051;4;32;1961;1638;1615;635
1638;4;33;2051;1992;2476;895
1992;4;34;1638;1921;1819;2313
1921;4;35;1992;687;524;1259
687;4;36;1921;1786;1962;1293
1786;4;37;687;373;1230;1534
373;4;38;1786;1017;2053;391
1017;4;39;373;736;591;1887
736;4;40;1017;1325;51;493
1325;4;41;736;2032;366;417
2032;4;42;1325;492;593;885
492;4;43;2032;2027;2260;2033
2027;4;44;492;1524;1142;1503
1524;4;45;2027;294;1165;2028
294;4;46;1524;785;1956;1278
785;4;47;294;1466;1803;896
1466;4;48;785;1804;2444;919
1804;4;49;1466;0;821;898
137;5;0;0;913;1045;333
913;5;1;137;131;2398;60
131;5;2;913;1461;789;2397
1461;5;3;131;2320;2130;114
2320;5;4;1461;1782;1202;1729
1782;5;5;2320;411;123;1963
411;5;6;1782;1676;1104;937
1676;5;7;411;2203;471;1214
2203;5;8;1676;695;172;201
695;5;9;2203;37;2441;405
37;5;10;695;728;530;1903
728;5;11;37;1435;627;2490
1435;5;12;728;1236;2494;1686
1236;5;13;1435;2210;2355;1000
2210;5;14;1236;434;1067;2460
434;5;15;2210;2306;403;2256
2306;5;16;434;393;1746;1913
393;5;17;2306;1401;2432;911
1401;5;18;393;1710;490;2422
1710;5;19;1401;329;1114;1792
329;5;20;1710;188;1261;1932
188;5;21;329;642;618;697
642;5;22;188;1317;462;175
1317;5;23;642;2012;119;1264
2012;5;24;1317;1481;1847;498
1481;5;25;2012;901;2069;900
901;5;26;1481;189;2372;2035
189;5;27;901;944;2080;293
944;5;28;189;1488;387;1785
1488;5;29;944;2190;797;804
2190;5;30;1488;1490;2363;169
1490;5;31;2190;635;1961;1098
635;5;32;1490;895;2051;2224
895;5;33;635;2313;1638;554
2313;5;34;895;1259;1992;1351
1259;5;35;2313;1293;1921;1943
1293;5;36;1259;1534;687;644
1534;5;37;1293;391;1786;877
391;5;38;1534;1887;373;2429
1887;5;39;391;493;1017;1399
493;5;40;1887;417;736;539
417;5;41;493;885;1325;2068
885;5;42;417;2033;2032;1767
2033;5;43;885;1503;492;1125
1503;5;44;2033;2028;2027;1463
2028;5;45;1503;1278;1524;1977
1278;5;46;2028;896;294;1630
896;5;47;1278;919;785;97
919;5;48;896;898;1466;2091
898;5;49;919;0;1804;825
333;6;0;0;60;137;401
60;6;1;333;2397;913;667
2397;6;2;60;114;131;2411
114;6;3;2397;1729;1461;1320
1729;6;4;114;1963;2320;1432
1963;6;5;1729;937;1782;2234
937;6;6;1963;1214;411;1728
1214;6;7;937;201;1676;2345
201;6;8;1214;405;2203;305
405;6;9;201;1903;695;2041
1903;6;10;405;2490;37;1499
2490;6;11;1903;1686;728;1512
1686;6;12;2490;1000;1435;126
1000;6;13;1686;2460;1236;762
2460;6;14;1000;2256;2210;1414
2256;6;15;2460;1913;434;1888
1913;6;16;2256;911;2306;1437
911;6;17;1913;2422;393;1140
2422;6;18;911;1792;1401;1245
1792;6;19;2422;1932;1710;2211
1932;6;20;1792;697;329;2077
697;6;21;1932;175;188;991
175;6;22;697;1264;642;894
1264;6;23;175;498;1317;1430
498;6;24;1264;900;2012;1485
900;6;25;498;2035;1481;1428
2035;6;26;900;293;901;1579
293;6;27;2035;1785;189;1048
1785;6;28;293;804;944;1511
804;6;29;1785;169;1488;1337
169;6;30;804;1098;2190;256
1098;6;31;169;2224;1490;562
2224;6;32;1098;554;635;2168
554;6;33;2224;1351;895;1415
1351;6;34;554;1943;2313;707
1943;6;35;1351;644;1259;1381
644;6;36;1943;877;1293;1297
877;6;37;644;2429;1534;18
2429;6;38;877;1399;391;216
1399;6;39;2429;539;1887;308
539;6;40;1399;2068;493;1390
2068;6;41;539;1767;417;868
1767;6;42;2068;1125;885;1195
1125;6;43;1767;1463;2033;2145
1463;6;44;1125;1977;1503;1966
1977;6;45;1463;1630;2028;1120
1630;6;46;1977;97;1278;2309
97;6;47;1630;2091;896;461
2091;6;48;97;825;919;1770
825;6;49;2091;0;898;2085
401;7;0;0;667;333;1267
667;7;1;401;2411;60;2176
2411;7;2;667;1320;2397;1547
1320;7;3;2411;1432;114;2342
1432;7;4;1320;2234;1729;1101
2234;7;5;1432;1728;1963;723
1728;7;6;2234;2345;937;2396
2345;7;7;1728;305;1214;1274
305;7;8;2345;2041;201;1774
2041;7;9;305;1499;405;185
1499;7;10;2041;1512;1903;1124
1512;7;11;1499;126;2490;1922
126;7;12;1512;762;1686;2467
762;7;13;126;1414;1000;886
1414;7;14;762;1888;2460;1060
1888;7;15;1414;1437;2256;59
1437;7;16;1888;1140;1913;864
1140;7;17;1437;1245;911;2439
1245;7;18;1140;2211;2422;921
2211;7;19;1245;2077;1792;1633
2077;7;20;2211;991;1932;1855
991;7;21;2077;894;697;1431
894;7;22;991;1430;175;1902
1430;7;23;894;1485;1264;103
1485;7;24;1430;1428;498;2264
1428;7;25;1485;1579;900;1151
1579;7;26;1428;1048;2035;1419
1048;7;27;1579;1511;293;2302
1511;7;28;1048;1337;1785;1030
1337;7;29;1511;256;804;156
256;7;30;1337;562;169;1033
562;7;31;256;2168;1098;140
2168;7;32;562;1415;2224;517
1415;7;33;2168;707;554;574
707;7;34;1415;1381;1351;1993
1381;7;35;707;1297;1943;2316
1297;7;36;1381;18;644;1732
18;7;37;1297;216;877;390
216;7;38;18;308;2429;182
308;7;39;216;1390;1399;816
1390;7;40;308;868;539;1856
868;7;41;1390;1195;2068;1517
1195;7;42;868;2145;1767;2215
2145;7;43;1195;1966;1125;2181
1966;7;44;2145;1120;1463;1548
1120;7;45;1966;2309;1977;747
2309;7;46;1120;461;1630;2205
461;7;47;2309;1770;97;974
1770;7;48;461;2085;2091;49
2085;7;49;1770;0;825;2136
1267;8;0;0;2176;401;1128
2176;8;1;1267;1547;667;1611
1547;8;2;2176;2342;2411;1178
2342;8;3;1547;1101;1320;959
1101;8;4;2342;723;1432;2082
723;8;5;1101;2396;2234;767
2396;8;6;723;1274;1728;1991
1274;8;7;2396;1774;2345;2272
1774;8;8;1274;185;305;1394
185;8;9;1774;1124;2041;149
1124;8;10;185;1922;1499;588
1922;8;11;1124;2467;1512;594
2467;8;12;1922;886;126;2370
886;8;13;2467;1060;762;2127
1060;8;14;886;59;1414;2380
59;8;15;1060;864;1888;154
864;8;16;59;2439;1437;509
2439;8;17;864;921;1140;1386
921;8;18;2439;1633;1245;1502
1633;8;19;921;1855;2211;1074
1855;8;20;1633;1431;2077;1783
1431;8;21;1855;1902;991;763
1902;8;22;1431;103;894;1028
103;8;23;1902;2264;1430;1069
2264;8;24;103;1151;1485;908
1151;8;25;2264;1419;1428;1908
1419;8;26;1151;2302;1579;143
2302;8;27;1419;1030;1048;506
1030;8;28;2302;156;1511;854
156;8;29;1030;1033;1337;2297
1033;8;30;156;140;256;592
140;8;31;1033;517;562;658
517;8;32;140;574;2168;935
574;8;33;517;1993;1415;1281
1993;8;34;574;2316;707;2319
2316;8;35;1993;1732;1381;876
1732;8;36;2316;390;1297;472
390;8;37;1732;182;18;315
182;8;38;390;816;216;902
816;8;39;182;1856;308;722
1856;8;40;816;1517;1390;1898
1517;8;41;1856;2215;868;1454
2215;8;42;1517;2181;1195;258
2181;8;43;2215;1548;2145;1117
1548;8;44;2181;747;1966;2236
747;8;45;1548;2205;1120;872
2205;8;46;747;974;2309;2202
974;8;47;2205;49;461;1244
49;8;48;974;2136;1770;2402
2136;8;49;49;0;2085;1073
1128;9;0;0;1611;1267;2493
1611;9;1;1128;1178;2176;1753
1178;9;2;1611;959;1547;838
959;9;3;1178;2082;2342;1682
2082;9;4;959;767;1101;2
767;9;5;2082;1991;723;532
1991;9;6;767;2272;2396;1253
2272;9;7;1991;1394;1274;660
1394;9;8;2272;149;1774;1298
149;9;9;1394;588;185;1352
588;9;10;149;594;1124;2496
594;9;11;588;2370;1922;1818
2370;9;12;594;2127;2467;589
2127;9;13;2370;2380;886;1692
2380;9;14;2127;154;1060;1545
154;9;15;2380;509;59;72
509;9;16;154;1386;864;1817
1386;9;17;509;1502;2439;1065
1502;9;18;1386;1074;921;2423
1074;9;19;1502;1783;1633;1735
1783;9;20;1074;763;1855;170
763;9;21;1783;1028;1431;1218
1028;9;22;763;1069;1902;202
1069;9;23;1028;908;103;1473
908;9;24;1069;1908;2264;1358
1908;9;25;908;143;1151;1493
143;9;26;1908;506;1419;525
506;9;27;143;854;2302;1442
854;9;28;506;2297;1030;2452
2297;9;29;854;592;156;2071
592;9;30;2297;658;1033;68
658;9;31;592;935;140;2194
935;9;32;658;1281;517;1451
1281;9;33;935;2319;574;2238
2319;9;34;1281;876;1993;1549
876;9;35;2319;472;2316;286
472;9;36;876;315;1732;1339
315;9;37;472;902;390;837
902;9;38;315;722;182;629
722;9;39;902;1898;816;892
1898;9;40;722;1454;1856;1013
1454;9;41;1898;258;1517;578
258;9;42;1454;1117;2215;958
1117;9;43;258;2236;2181;1433
2236;9;44;1117;872;1548;650
872;9;45;2236;2202;747;426
2202;9;46;872;1244;2205;887
1244;9;47;2202;2402;974;964
2402;9;48;1244;1073;49;1380
1073;9;49;2402;0;2136;388
2493;10;0;0;1753;1128;1097
1753;10;1;2493;838;1611;869
838;10;2;1753;1682;1178;2481
1682;10;3;838;2;959;1273
2;10;4;1682;532;2082;2193
532;10;5;2;1253;767;1931
1253;10;6;532;660;1991;636
660;10;7;1253;1298;2272;693
1298;10;8;660;1352;1394;270
1352;10;9;1298;2496;149;2296
2496;10;10;1352;1818;588;1116
1818;10;11;2496;589;594;2427
589;10;12;1818;1692;2370;1212
1692;10;13;589;1545;2127;1175
1545;10;14;1692;72;2380;1621
72;10;15;1545;1817;154;164
1817;10;16;72;1065;509;2179
1065;10;17;1817;2423;1386;918
2423;10;18;1065;1735;1502;231
1735;10;19;2423;170;1074;1870
170;10;20;1735;1218;1783;2483
1218;10;21;170;202;763;1423
202;10;22;1218;1473;1028;862
1473;10;23;202;1358;1069;1283
1358;10;24;1473;1493;908;1306
1493;10;25;1358;525;1908;573
525;10;26;1493;1442;143;1628
1442;10;27;525;2452;506;1606
2452;10;28;1442;2071;854;1039
2071;10;29;2452;68;2297;602
68;10;30;2071;2194;592;1784
2194;10;31;68;1451;658;2266
1451;10;32;2194;2238;935;1265
2238;10;33;1451;1549;1281;1406
1549;10;34;2238;286;2319;1170
286;10;35;1549;1339;876;1271
1339;10;36;286;837;472;2004
837;10;37;1339;629;315;1841
629;10;38;837;892;902;582
892;10;39;629;1013;722;117
1013;10;40;892;578;1898;1470
578;10;41;1013;958;1454;1863
958;10;42;578;1433;258;2465
1433;10;43;958;650;1117;425
650;10;44;1433;426;2236;2344
426;10;45;650;887;872;609
887;10;46;426;964;2202;1225
964;10;47;887;1380;1244;2322
1380;10;48;964;388;2402;1680
388;10;49;1380;0;1073;1496
1097;11;0;0;869;2493;1095
869;11;1;1097;2481;1753;1859
2481;11;2;869;1273;838;865
1273;11;3;2481;2193;1682;382
2193;11;4;1273;1931;2;507
1931;11;5;2193;636;532;2047
636;11;6;1931;693;1253;621
693;11;7;636;270;660;2128
270;11;8;693;2296;1298;1139
2296;11;9;270;1116;1352;1448
1116;11;10;2296;2427;2496;107
2427;11;11;1116;1212;1818;48
1212;11;12;2427;1175;589;2151
1175;11;13;1212;1621;1692;1591
1621;11;14;1175;164;1545;1111
164;11;15;1621;2179;72;362
2179;11;16;164;918;1817;345
918;11;17;2179;231;1065;560
231;11;18;918;1870;2423;2124
1870;11;19;231;2483;1735;680
2483;11;20;1870;1423;170;1338
1423;11;21;2483;862;1218;822
862;11;22;1423;1283;202;2204
1283;11;23;862;1306;1473;755
1306;11;24;1283;573;1358;567
573;11;25;1306;1628;1493;109
1628;11;26;573;1606;525;1468
1606;11;27;1628;1039;1442;1926
1039;11;28;1606;602;2452;2278
602;11;29;1039;1784;2071;450
1784;11;30;602;2266;68;2300
2266;11;31;1784;1265;2194;1425
1265;11;32;2266;1406;1451;167
1406;11;33;1265;1170;2238;927
1170;11;34;1406;1271;1549;1693
1271;11;35;1170;2004;286;503
2004;11;36;1271;1841;1339;199
1841;11;37;2004;582;837;1564
582;11;38;1841;117;629;879
117;11;39;582;1470;892;215
1470;11;40;117;1863;1013;1673
1863;11;41;1470;2465;578;1038
2465;11;42;1863;425;958;1072
425;11;43;2465;2344;1433;139
2344;11;44;425;609;650;480
609;11;45;2344;1225;426;556
1225;11;46;609;2322;887;1744
2322;11;47;1225;1680;964;1340
1680;11;48;2322;1496;1380;115
1496;11;49;1680;0;388;1685
1095;12;0;0;1859;1097;805
1859;12;1;1095;865;869;1599
865;12;2;1859;382;2481;731
382;12;3;865;507;1273;2454
507;12;4;382;2047;2193;2217
2047;12;5;507;621;1931;1369
621;12;6;2047;2128;636;2157
2128;12;7;621;1139;693;2392
1139;12;8;2128;1448;270;2255
1448;12;9;1139;107;2296;456
107;12;10;1448;48;1116;35
48;12;11;107;2151;2427;977
2151;12;12;48;1591;1212;6
1591;12;13;2151;1111;1175;1703
1111;12;14;1591;362;1621;484
362;12;15;1111;345;164;2407
345;12;16;362;560;2179;1808
560;12;17;345;2124;918;1108
2124;12;18;560;680;231;2470
680;12;19;2124;1338;1870;1935
1338;12;20;680;822;2483;2275
822;12;21;1338;2204;1423;178
2204;12;22;822;755;862;2418
755;12;23;2204;567;1283;335
567;12;24;755;109;1306;521
109;12;25;567;1468;573;2155
1468;12;26;109;1926;1628;535
1926;12;27;1468;2278;1606;884
2278;12;28;1926;450;1039;1344
450;12;29;2278;2300;602;336
2300;12;30;450;1425;1784;1186
1425;12;31;2300;167;2266;1649
167;12;32;1425;927;1265;2123
927;12;33;167;1693;1406;1758
1693;12;34;927;503;1170;1105
503;12;35;1693;199;1271;2170
199;12;36;503;1564;2004;125
1564;12;37;199;879;1841;891
879;12;38;1564;215;582;1552
215;12;39;879;1673;117;151
1673;12;40;215;1038;1470;1657
1038;12;41;1673;1072;1863;2100
1072;12;42;1038;139;2465;2478
139;12;43;1072;480;425;1720
480;12;44;139;556;2344;1397
556;12;45;480;1744;609;84
1744;12;46;556;1340;1225;673
1340;12;47;1744;115;2322;674
115;12;48;1340;1685;1680;1944
1685;12;49;115;0;1496;145
805;13;0;0;1599;1095;1025
1599;13;1;805;731;1859;349
731;13;2;1599;2454;865;540
2454;13;3;731;2217;382;990
2217;13;4;2454;1369;507;1874
1369;13;5;2217;2157;2047;985
2157;13;6;1369;2392;621;230
2392;13;7;2157;2255;2128;1773
2255;13;8;2392;456;1139;290
456;13;9;2255;35;1448;943
35;13;10;456;977;107;479
977;13;11;35;6;48;243
6;13;12;977;1703;2151;77
1703;13;13;6;484;1591;620
484;13;14;1703;2407;1111;2376
2407;13;15;484;1808;362;88
1808;13;16;2407;1108;345;2268
1108;13;17;1808;2470;560;1872
2470;13;18;1108;1935;2124;1805
1935;13;19;2470;2275;680;1171
2275;13;20;1935;178;1338;2258
178;13;21;2275;2418;822;15
2418;13;22;178;335;2204;2487
335;13;23;2418;521;755;1843
521;13;24;335;2155;567;668
2155;13;25;521;535;109;179
535;13;26;2155;884;1468;1580
884;13;27;535;1344;1926;866
1344;13;28;884;336;2278;297
336;13;29;1344;1186;450;1794
1186;13;30;336;1649;2300;1053
1649;13;31;1186;2123;1425;2436
2123;13;32;1649;1758;167;1457
1758;13;33;2123;1105;927;2143
1105;13;34;1758;2170;1693;2207
2170;13;35;1105;125;503;790
125;13;36;2170;891;199;596
891;13;37;125;1552;1564;1860
1552;13;38;891;151;879;85
151;13;39;1552;1657;215;1329
1657;13;40;151;2100;1673;423
2100;13;41;1657;2478;1038;623
2478;13;42;2100;1720;1072;481
1720;13;43;2478;1397;139;544
1397;13;44;1720;84;480;2024
84;13;45;1397;673;556;474
673;13;46;84;674;1744;1678
674;13;47;673;1944;1340;218
1944;13;48;674;145;115;232
145;13;49;1944;0;1685;1354
1025;14;0;0;349;805;1566
349;14;1;1025;540;1599;1800
540;14;2;349;990;731;1661
990;14;3;540;1874;2454;878
1874;14;4;990;985;2217;1597
985;14;5;1874;230;1369;1199
230;14;6;985;1773;2157;1648
1773;14;7;230;290;2392;2341
290;14;8;1773;943;2255;2140
943;14;9;290;479;456;2337
479;14;10;943;243;35;338
243;14;11;479;77;977;1617
77;14;12;243;620;6;848
620;14;13;77;2376;1703;640
2376;14;14;620;88;484;1550
88;14;15;2376;2268;2407;1622
2268;14;16;88;1872;1808;265
1872;14;17;2268;1805;1108;1341
1805;14;18;1872;1171;2470;875
1171;14;19;1805;2258;1935;2186
2258;14;20;1171;15;2275;666
15;14;21;2258;2487;178;611
2487;14;22;15;1843;2418;135
1843;14;23;2487;668;335;1501
668;14;24;1843;179;521;843
179;14;25;668;1580;2155;1543
1580;14;26;179;866;535;1883
866;14;27;1580;297;884;28
297;14;28;866;1794;1344;2063
1794;14;29;297;1053;336;1563
1053;14;30;1794;2436;1186;264
2436;14;31;1053;1457;1649;1368
1457;14;32;2436;2143;2123;2361
2143;14;33;1457;2207;1758;127
2207;14;34;2143;790;1105;398
790;14;35;2207;596;2170;1865
596;14;36;790;1860;125;1412
1860;14;37;596;85;891;705
85;14;38;1860;1329;1552;1995
1329;14;39;85;423;151;863
423;14;40;1329;623;1657;2235
623;14;41;423;481;2100;209
481;14;42;623;544;2478;343
544;14;43;481;2024;1720;1795
2024;14;44;544;474;1397;1277
474;14;45;2024;1678;84;1986
1678;14;46;474;218;673;1248
218;14;47;1678;232;674;432
232;14;48;218;1354;1944;2378
1354;14;49;232;0;145;1003
1566;15;0;0;1800;1025;1541
1800;15;1;1566;1661;349;735
1661;15;2;1800;878;540;1075
878;15;3;1661;1597;990;1471
1597;15;4;878;1199;1874;2403
1199;15;5;1597;1648;985;1321
1648;15;6;1199;2341;230;1070
2341;15;7;1648;2140;1773;630
2140;15;8;2341;2337;290;1254
2337;15;9;2140;338;943;266
338;15;10;2337;1617;479;1848
1617;15;11;338;848;243;1725
848;15;12;1617;640;77;1605
640;15;13;848;1550;620;579
1550;15;14;640;1622;2376;2058
1622;15;15;1550;265;88;1813
265;15;16;1622;1341;2268;1269
1341;15;17;265;875;1872;1068
875;15;18;1341;2186;1805;2366
2186;15;19;875;666;1171;1984
666;15;20;2186;611;2258;992
611;15;21;666;135;15;457
135;15;22;611;1501;2487;2282
1501;15;23;135;843;1843;1102
843;15;24;1501;1543;668;1272
1543;15;25;843;1883;179;100
1883;15;26;1543;28;1580;513
28;15;27;1883;2063;866;647
2063;15;28;28;1563;297;2339
1563;15;29;2063;264;1794;1598
264;15;30;1563;1368;1053;568
1368;15;31;264;2361;2436;881
2361;15;32;1368;127;1457;1166
127;15;33;2361;398;2143;1709
398;15;34;127;1865;2207;1416
1865;15;35;398;1412;790;1578
1412;15;36;1865;705;596;324
705;15;37;1412;1995;1860;1475
1995;15;38;705;863;85;712
863;15;39;1995;2235;1329;1702
2235;15;40;863;209;423;487
209;15;41;2235;343;623;633
343;15;42;209;1795;481;1826
1795;15;43;343;1277;544;2265
1277;15;44;1795;1986;2024;795
1986;15;45;1277;1248;474;1570
1248;15;46;1986;432;1678;597
432;15;47;1248;2378;218;2247
2378;15;48;432;1003;232;1375
1003;15;49;2378;0;1354;2449
1541;16;0;0;735;1566;328
735;16;1;1541;1075;1800;361
1075;16;2;735;1471;1661;1146
1471;16;3;1075;2403;878;155
2403;16;4;1471;1321;1597;2408
1321;16;5;2403;1070;1199;1698
1070;16;6;1321;630;1648;2121
630;16;7;1070;1254;2341;772
1254;16;8;630;266;2140;435
266;16;9;1254;1848;2337;1740
1848;16;10;266;1725;338;1260
1725;16;11;1848;1605;1617;1249
1605;16;12;1725;579;848;316
579;16;13;1605;2058;640;371
2058;16;14;579;1813;1550;416
1813;16;15;2058;1269;1622;1158
1269;16;16;1813;1068;265;1205
1068;16;17;1269;2366;1341;406
2366;16;18;1068;1984;875;1914
1984;16;19;2366;992;2186;496
992;16;20;1984;457;666;976
457;16;21;992;2282;611;527
2282;16;22;457;1102;135;510
1102;16;23;2282;1272;1501;534
